,0
0,2018-12-12T16:40:31.000Z
1,2018-12-11T14:25:23.000Z
2,2018-12-14T00:00:02.000Z
3,2018-12-07T22:00:03.000Z
4,2018-12-07T04:11:46.000Z
5,2018-11-25T15:00:06.000Z
6,2018-12-04T21:49:08.000Z
7,2018-12-07T00:10:42.000Z
8,2018-11-28T23:42:52.000Z
9,2018-12-06T16:08:17.000Z
10,2018-11-20T23:29:22.000Z
11,2018-12-01T00:00:06.000Z
12,2018-11-22T22:21:02.000Z
13,2018-11-23T13:26:40.000Z
14,2018-11-20T13:22:58.000Z
15,2018-12-13T18:19:54.000Z
16,2018-12-06T05:30:00.000Z
17,2018-12-13T06:34:25.000Z
18,2018-12-05T21:24:47.000Z
19,2018-12-14T02:40:31.000Z
20,2018-12-03T04:59:16.000Z
21,2018-12-07T11:59:11.000Z
22,2018-11-25T09:46:28.000Z
23,2018-12-02T01:55:39.000Z
24,2018-11-27T16:28:39.000Z
25,2018-11-11T14:00:04.000Z
26,2018-11-20T11:00:08.000Z
27,2018-11-25T12:00:01.000Z
28,2018-12-13T05:00:02.000Z
29,2018-12-04T08:15:26.000Z
30,2018-12-12T00:00:02.000Z
31,2018-12-04T04:06:19.000Z
32,2018-11-18T17:09:25.000Z
33,2018-11-19T14:14:02.000Z
34,2018-11-27T12:18:06.000Z
35,2018-12-09T22:21:20.000Z
36,2018-08-29T12:05:44.000Z
37,2018-11-15T18:30:36.000Z
38,2018-12-12T12:34:53.000Z
39,2018-11-23T17:18:29.000Z
40,2018-11-16T15:37:54.000Z
41,2018-12-10T22:31:49.000Z
42,2018-11-26T23:13:34.000Z
43,2018-12-11T15:58:23.000Z
44,2018-12-08T11:55:17.000Z
45,2018-11-27T22:09:04.000Z
46,2018-11-14T17:56:44.000Z
47,2018-11-19T17:24:04.000Z
48,2018-12-07T04:54:28.000Z
49,2018-11-26T13:39:21.000Z
